7,88	6,63	5,02	3,84	2,71
10,60	9,21	7,38	5,99	4,61
12,84	11,34	9,35	7,84	6,25
14,96	13,28	11,14	9,49	7,78
16,70	15,10	12,80	11,10	9,20
18,50	16,80	14,40	12,60	10,60
20,30	18,50	16,00	14,10	12,00
22,00	20,10	17,50	15,50	13,40
23,60	21,70	19,00	16,90	14,70
25,20	23,20	20,50	18,30	16,00
26,80	24,70	21,90	19,70	17,30
28,30	26,20	23,30	21,00	18,50
29,80	27,70	24,70	22,40	19,80
31,30	29,10	26,10	23,70	21,10
32,80	30,60	27,50	25,00	22,30
34,30	32,00	28,80	26,30	23,50
35,70	33,40	30,20	27,60	24,80
37,20	34,80	31,50	28,90	26,00
38,60	36,20	32,90	30,10	27,20
40,00	37,60	34,20	31,40	28,40
41,40	38,90	35,50	32,70	29,60
42,80	40,30	36,80	33,90	30,80
44,20	41,60	38,10	35,20	32,00
45,60	43,00	39,40	36,40	33,20
46,90	44,30	40,60	37,70	34,40
48,30	45,60	41,90	38,90	35,60
49,60	47,00	43,20	40,10	36,70
51,00	48,30	44,50	41,30	37,90
52,30	49,60	45,70	42,60	39,10
53,70	50,90	47,00	43,80	40,30
66,80	63,70	59,30	55,80	51,80
79,50	76,20	71,40	67,50	63,20
92,00	88,40	83,30	79,10	74,40
104,20	100,40	95,00	90,50	85,50
116,30	112,30	106,60	101,90	96,60
128,30	124,10	118,10	113,10	107,60
140,20	135,80	129,60	124,30	118,50
